id,jargon,definition,analogy,example,category
b1e67166-bfd6-45fc-ba28-22ea94adfbf2,Data,"Data is the information collected about something or someone. It's like a bunch of notes or facts written down about a person, place, or thing.","Think of a diary where you write down everything that happens to you each day. The entries are like data, they contain information about your day.","A fitness app collecting information about your workouts, such as the distance you ran or the weight you lifted.",Core Concepts
acbb91b7-fa71-4837-ae8f-d2d5197b0176,Dataset,"A dataset is a collection of information, like a bunch of notes or a stack of files, that a machine learning system uses to learn from. It's like a big library of data that the system can read and understand.","Imagine a huge library with books, each book containing information about a specific topic. The machine learning system is like a librarian who reads through all the books to learn and understand the information.",A dataset of images of dogs and cats that a system uses to learn how to recognize and classify different animals.,Core Concepts
d3504e17-d4f4-49df-92d6-ef20042a1334,Feature,"A feature is a characteristic or property of something that can be measured or described. For example, if you're looking at a picture of a car, some features might be its color, make, or number of wheels.","Think of a person's features - their height, eye color, or hair color. These are the things that make them who they are.","In a machine learning model that tries to predict house prices, some features might be the number of bedrooms, the square footage, or the location of the house.",Core Concepts
42632da1-a400-49f0-b325-e13c58ac8e6f,Label,"A label is a word or phrase used to describe a piece of data. It helps the machine understand what the data means, like a name tag.",Imagine a library where books are labeled with their titles and authors. The labels help you find the right book.,"A picture of a dog might be labeled as ""dog"" so the machine can recognize it as a dog in the future.",Core Concepts
c7ffaa6c-c8e8-4a6a-9250-c495ec36c55f,Target,"In machine learning, a target is the result or outcome that you want the system to achieve. It's what you're trying to predict or classify.",Imagine you're trying to hit a target with an arrow. The target is the bullseye – it's what you're aiming for.,"A self-driving car's target might be to avoid hitting pedestrians, while a language model's target could be to generate human-like text.",Core Concepts
c84c5b27-8baf-4d96-8e39-e4a6be5e5a1e,Sample,A sample is a small group of data taken from a larger collection. It's like a snapshot of the bigger picture.,Imagine taking a small handful of cookies from a big jar to taste and decide if they're sweet or not. The handful of cookies is the sample.,A machine learning model might use a sample of customer reviews to understand what people like or dislike about a product.,Core Concepts
90656d36-1125-40d5-aab1-ca4d93995adb,Model,A model is a simplified version of how something works. It's like a blueprint or a template that helps the machine make predictions or decisions.,"Think of a model as a LEGO kit. You build the kit to create a replica of something, like a house or a car. The kit has all the necessary pieces, and when you put them together, you get a representation of the real thing.","A weather forecasting model uses data to predict the temperature and weather conditions for a certain area, giving us a simplified version of how the weather will behave.",Core Concepts
4e68fb24-b382-4a01-8f87-1f12e279615b,Algorithm,An algorithm is a set of instructions that a computer follows to solve a problem or complete a task. It's like a recipe for the computer to follow.,"Think of a recipe for making your favorite cake. It lists the ingredients, the steps to mix them, and the oven temperature. The computer follows its algorithm to get the desired result.","Google's search engine uses an algorithm to rank websites based on relevance, so you see the most useful results when you search for something.",Core Concepts
86c36b43-588b-4ae8-a85c-34c83ad83c39,Prediction,"It's when a machine uses what it has learned to guess what might happen next, like making a forecast. This guess is called a prediction.","Imagine you're trying to guess the weather tomorrow. You look at today's weather, the season, and other clues. Based on that, you make a prediction about what the weather will be like tomorrow.",A self-driving car uses prediction to anticipate when it needs to slow down or stop at an intersection.,Core Concepts
aed66948-1b54-468a-a8a2-50620e1efc4d,Training,Training is when a machine learning system learns from a large amount of data. It's like reading a lot of books to become smarter.,"Imagine you're learning a new language by listening to native speakers talk. The more you listen, the better you understand.",A self-driving car's system is trained on millions of images of roads to learn how to navigate safely.,Core Concepts
e271190f-9260-4dee-b2ab-d3f1a1920dba,Machine Learning,Machine learning is a way that computers learn and improve on their own by looking at data and finding patterns. It's like how you learn to recognize a friend's face by seeing it many times.,"Imagine you're trying to guess the flavor of a new ice cream based on its color and smell. The more you try different flavors, the better you get at guessing. Machine learning is like that, but for computers.",A virtual assistant learning to recognize your voice and respond to your commands.,Learning Types
56f33f3e-1b4f-4fc9-bdd5-efcafa1a5652,Supervised Learning,It is a type of machine learning where the system learns using data that already has correct answers. The system uses this to make predictions on new data.,"Imagine a librarian helping you find books. They show you examples of books with their correct labels, like ""Fiction"" or ""Non-Fiction"". Over time, you learn to find the right labels on your own.","A self-driving car learning to recognize traffic lights by using pictures of red and green lights that have been labeled as ""stop"" or ""go"".",Learning Types
68805f78-039e-409e-ac09-2d6c4bdf8314,Unsupervised Learning,It is a type of machine learning where the system learns using data that does not have correct answers. The system finds patterns and relationships on its own.,"Imagine you're organizing a big box of clothes. You don't know which ones are socks, shirts, or pants, but you can still sort them by color, size, or type.","A music streaming service grouping similar songs together, like all the songs by a certain artist or all the songs with a similar genre.",Learning Types
f7834f35-2ebe-4c98-ae6c-716f86f930b0,Semi-Supervised Learning,It is a type of machine learning where the system learns using a mix of data with correct answers and data without answers. This helps the system make predictions on new data.,"Imagine you're trying to learn a new language, and you have a friend who speaks the language fluently. You can practice with your friend by listening to them and trying to repeat what they say. But sometimes, you also try to learn from listening to music or TV shows in the language, even though you don't have anyone to correct you.","A self-driving car learning to recognize different types of roads by using a mix of labeled data (roads that have been marked as ""highway"" or ""city street"") and unlabeled data (just regular roads it has driven on before).",Learning Types
23347f53-66b3-42bf-af98-e4d699fbff90,Reinforcement Learning,Reinforcement learning is a type of machine learning where a system learns by doing things and getting feedback on how good or bad it was. This helps the system to improve its actions over time.,"Imagine a child learning to ride a bike. The parent gives feedback like ""good job"" or ""try again"" as the child practices. The child uses this feedback to improve their balance and eventually ride the bike smoothly.",A self-driving car learning to navigate through traffic by getting rewards for safe driving and penalties for accidents.,Learning Types
fdb55664-ff75-4638-a754-f023503b5473,Transfer Learning,"It is a way for a machine learning system to use knowledge it learned from one task, and apply it to a different but related task. This helps the system learn faster and be more accurate.","Imagine you learned to ride a bike in a park with smooth paths. Now, you want to ride in a hilly area. You can use the skills you learned in the park to help you ride more smoothly in the hilly area.","A self-driving car learning to recognize pedestrians by using its knowledge of recognizing cars, which is similar but not exactly the same task.",Learning Types
03e28180-2176-4624-915a-dd972d0f2da7,Dataset,"A dataset is a collection of information, like a big library of books. It's a group of data points, such as numbers, words, or pictures, that are used to train or test a machine learning model.","Imagine a bunch of files in a file cabinet. Each file contains information about a person, like their name, age, and address. A dataset is like all the files in the cabinet, which can be used to learn more about the people.","A company might create a dataset of customer information, including their purchase history and demographics, to help a machine learning model predict which customers are likely to buy a new product.",Data Basics
7dcabcfb-2746-46b1-9d6d-804ee8666d55,Feature,A feature is a characteristic or quality of something that can be measured or described. It's like a single piece of information about an object or a person.,"Imagine you're describing a friend. A feature could be their hair color, eye color, height, or favorite food. Each one is a separate detail that helps you get to know them better.","In a machine learning model that predicts house prices, some features might be the number of bedrooms, the square footage, or the location of the house.",Data Basics
d4f14c59-d903-4212-8f0b-ae1fd94653d7,Target,The target is the result or outcome we want to achieve or predict. It's like the goal we're aiming for.,"Imagine you're at a shooting range. The target is the bullseye – the spot you're trying to hit. In machine learning, the target is the outcome we're trying to reach.",A self-driving car's target might be to predict the speed limit on a road.,Data Basics
d221dcc8-1508-4739-9c30-86d0c6d5b05a,Noise,"Noise in data is like background chatter in a crowded room - it's the extra, unwanted information that can make it hard to hear the important stuff. It can be errors, missing values, or irrelevant data.","Imagine trying to listen to a conversation in a busy café. You can hear people talking in the background, but it's hard to focus on the person you're trying to talk to. That's similar to noise in data - it's the extra, distracting information that gets in the way.","A camera taking a picture of a car might capture noise from the environment, like a bird chirping or a car driving by, which can make it harder to recognize the car's features.",Data Basics
959a1faf-fc1b-458f-88c9-7172a32d943e,Structured Data,"It is a type of data that is organized in a specific way, like a table or a list with clear labels. This makes it easy to understand and use.","Imagine a library with books neatly arranged on shelves, each one labeled with the title and author. You can easily find the book you need.","A spreadsheet with columns for names, ages, and addresses is an example of structured data.",Data Basics
65a840da-6329-4445-8aa5-c781833bbcbc,Unstructured Data,Unstructured data is information that doesn't follow a specific pattern or organization. It's like a messy room where things are scattered all over.,"Imagine a photo album where you have pictures of your vacation, but there's no order or caption. You just have a bunch of memories.",A social media post where you share a funny meme without any labels or categories.,Data Basics
